number,slack,Negotiation lead time,Contract lead time,high Initial cost,low Initial cost,high data storage,low data storage,high Medical interview sales potential,low Medical interview sales potential,high Booking Sales Potential,low Booking Sales Potential,high MRR,low MRR,city
145.0,1.0,189.0,,,,,,0,,0,,0,0,kantou
146.0,1.0,279.0,,,,,,0,,0,,0,0,kantou
147.0,1.0,465.0,,,,,,0,,0,,0,0,toukai
148.0,1.0,466.0,,,,,,0,,0,,0,0,kansai
149.0,1.0,432.0,,,,,,0,,0,,0,0,kansai
150.0,1.0,483.0,,,,,,0,,0,,0,0,kansai
151.0,,,,,,,,0,,0,,0,0,
27.0,1.0,,,"18,000,000",,"346,000",,"88,700",,"31,700",,"466,400",0,kantou
,,,,,,,,0,,0,,0,0,
152.0,5.0,,,"725,000",0,0,"37,500","66,700","6,700",0,0,"66,700","44,200",cyugoku
153.0,0.0,,,"3,561,696",,"72,458",,"14,200",,"37,500",,"124,158",0,cyugoku
